year,level_norm,city,latitude,longtitude
1995,0.0,Talara,-4.62000,-81.28000
1996,31.3,Talara,-4.62000,-81.28000
1997,182.8,Talara,-4.62000,-81.28000
1998,165.5,Talara,-4.62000,-81.28000
1999,30.6,Talara,-4.62000,-81.28000
2000,1.6,Talara,-4.62000,-81.28000
2001,65.6,Talara,-4.62000,-81.28000
2002,111.5,Talara,-4.62000,-81.28000
2003,84.1,Talara,-4.62000,-81.28000
2004,92.2,Talara,-4.62000,-81.28000
2005,66.5,Talara,-4.62000,-81.28000
2006,119.2,Talara,-4.62000,-81.28000
2007,76.8,Talara,-4.62000,-81.28000
2008,99.7,Talara,-4.62000,-81.28000
2009,149.2,Talara,-4.62000,-81.28000
2010,82.9,Talara,-4.62000,-81.28000
2011,147.7,Talara,-4.62000,-81.28000
2012,177.0,Talara,-4.62000,-81.28000
2013,65.6,Talara,-4.62000,-81.28000
2014,118.9,Talara,-4.62000,-81.28000
