year,level_norm,city,latitude,longtitude
1996,0.0,Nelson,-41.25000,173.27000
1997,-40.0,Nelson,-41.25000,173.27000
1998,2.9,Nelson,-41.25000,173.27000
1999,88.3,Nelson,-41.25000,173.27000
2000,19.8,Nelson,-41.25000,173.27000
2001,5.0,Nelson,-41.25000,173.27000
2002,-2.5,Nelson,-41.25000,173.27000
2003,-3.7,Nelson,-41.25000,173.27000
2004,0.7,Nelson,-41.25000,173.27000
2005,-10.7,Nelson,-41.25000,173.27000
2006,-7.5,Nelson,-41.25000,173.27000
2007,-26.9,Nelson,-41.25000,173.27000
2008,27.0,Nelson,-41.25000,173.27000
2009,17.6,Nelson,-41.25000,173.27000
2010,2.9,Nelson,-41.25000,173.27000
2011,34.4,Nelson,-41.25000,173.27000
2012,47.8,Nelson,-41.25000,173.27000
2013,121.5,Nelson,-41.25000,173.27000
2014,116.3,Nelson,-41.25000,173.27000
