year,level_norm,city,latitude,longtitude
1994,0.0,Wellington Harbour,-41.28300,174.78300
1995,6.4,Wellington Harbour,-41.28300,174.78300
1996,31.1,Wellington Harbour,-41.28300,174.78300
1997,-1.0,Wellington Harbour,-41.28300,174.78300
1998,31.0,Wellington Harbour,-41.28300,174.78300
1999,64.4,Wellington Harbour,-41.28300,174.78300
2000,66.9,Wellington Harbour,-41.28300,174.78300
2001,62.0,Wellington Harbour,-41.28300,174.78300
2002,56.5,Wellington Harbour,-41.28300,174.78300
2003,59.3,Wellington Harbour,-41.28300,174.78300
2004,63.2,Wellington Harbour,-41.28300,174.78300
2005,55.8,Wellington Harbour,-41.28300,174.78300
2006,59.5,Wellington Harbour,-41.28300,174.78300
2007,50.6,Wellington Harbour,-41.28300,174.78300
2008,78.4,Wellington Harbour,-41.28300,174.78300
2009,65.6,Wellington Harbour,-41.28300,174.78300
2010,53.1,Wellington Harbour,-41.28300,174.78300
2011,81.0,Wellington Harbour,-41.28300,174.78300
2012,87.8,Wellington Harbour,-41.28300,174.78300
2013,118.4,Wellington Harbour,-41.28300,174.78300
2014,115.7,Wellington Harbour,-41.28300,174.78300
