year,level_norm,city,latitude,longtitude
1994,0.0,Timaru,-44.38000,171.25000
2001,35.8,Timaru,-44.38000,171.25000
2002,-39.1,Timaru,-44.38000,171.25000
2003,-23.8,Timaru,-44.38000,171.25000
2004,19.3,Timaru,-44.38000,171.25000
2005,4.5,Timaru,-44.38000,171.25000
2006,23.1,Timaru,-44.38000,171.25000
2007,-2.7,Timaru,-44.38000,171.25000
2008,39.2,Timaru,-44.38000,171.25000
2009,41.7,Timaru,-44.38000,171.25000
2010,26.2,Timaru,-44.38000,171.25000
2011,55.8,Timaru,-44.38000,171.25000
2012,55.3,Timaru,-44.38000,171.25000
2013,100.6,Timaru,-44.38000,171.25000
2014,90.2,Timaru,-44.38000,171.25000
