year,level_norm,city,latitude,longtitude
1995,0.0,Port Chalmers,-45.82000,170.65000
1996,-52.6,Port Chalmers,-45.82000,170.65000
1997,-72.7,Port Chalmers,-45.82000,170.65000
1998,-35.3,Port Chalmers,-45.82000,170.65000
1999,-11.7,Port Chalmers,-45.82000,170.65000
2000,29.8,Port Chalmers,-45.82000,170.65000
2001,14.3,Port Chalmers,-45.82000,170.65000
2002,8.0,Port Chalmers,-45.82000,170.65000
2003,4.7,Port Chalmers,-45.82000,170.65000
2004,10.3,Port Chalmers,-45.82000,170.65000
2005,0.0999999999999,Port Chalmers,-45.82000,170.65000
2006,9.8,Port Chalmers,-45.82000,170.65000
2007,-13.9,Port Chalmers,-45.82000,170.65000
2008,22.1,Port Chalmers,-45.82000,170.65000
2009,21.3,Port Chalmers,-45.82000,170.65000
2010,2.1,Port Chalmers,-45.82000,170.65000
2011,22.6,Port Chalmers,-45.82000,170.65000
2012,11.5,Port Chalmers,-45.82000,170.65000
2013,52.1,Port Chalmers,-45.82000,170.65000
2014,41.7,Port Chalmers,-45.82000,170.65000
