year,level_norm,city,latitude,longtitude
1994,0.0,Paita,-5.08300,-81.16700
1995,-8.5,Paita,-5.08300,-81.16700
1996,-10.2,Paita,-5.08300,-81.16700
1997,126.9,Paita,-5.08300,-81.16700
1998,106.4,Paita,-5.08300,-81.16700
1999,31.4,Paita,-5.08300,-81.16700
2000,24.8,Paita,-5.08300,-81.16700
2001,123.4,Paita,-5.08300,-81.16700
2002,215.9,Paita,-5.08300,-81.16700
2003,164.4,Paita,-5.08300,-81.16700
2004,163.4,Paita,-5.08300,-81.16700
2005,110.7,Paita,-5.08300,-81.16700
2006,73.8,Paita,-5.08300,-81.16700
2007,41.7,Paita,-5.08300,-81.16700
2008,106.6,Paita,-5.08300,-81.16700
2009,130.6,Paita,-5.08300,-81.16700
2011,66.3,Paita,-5.08300,-81.16700
2012,86.5,Paita,-5.08300,-81.16700
2013,57.1,Paita,-5.08300,-81.16700
2014,116.3,Paita,-5.08300,-81.16700
