year,level_norm,city,latitude,longtitude
1994,0.0,Nauru,0.53300,166.93000
1995,-81.8,Nauru,0.53300,166.93000
1996,-41.7,Nauru,0.53300,166.93000
1997,-6.9,Nauru,0.53300,166.93000
1998,-204.7,Nauru,0.53300,166.93000
1999,-74.6,Nauru,0.53300,166.93000
2000,-32.3,Nauru,0.53300,166.93000
2001,34.3,Nauru,0.53300,166.93000
2002,39.0,Nauru,0.53300,166.93000
2003,-1.5,Nauru,0.53300,166.93000
2004,37.7,Nauru,0.53300,166.93000
2005,-5.5,Nauru,0.53300,166.93000
2006,36.5,Nauru,0.53300,166.93000
2007,-33.2,Nauru,0.53300,166.93000
2008,-57.3,Nauru,0.53300,166.93000
2009,53.5,Nauru,0.53300,166.93000
2010,-56.4,Nauru,0.53300,166.93000
2011,6.0,Nauru,0.53300,166.93000
2012,54.3,Nauru,0.53300,166.93000
2013,15.1,Nauru,0.53300,166.93000
2014,179.1,Nauru,0.53300,166.93000
