year,level_norm,city,latitude,longtitude
1994,0.0,Kapingamarangi (Caroline Is.),1.10000,154.78300
1995,-20.0,Kapingamarangi (Caroline Is.),1.10000,154.78300
1996,37.0,Kapingamarangi (Caroline Is.),1.10000,154.78300
1997,-52.1,Kapingamarangi (Caroline Is.),1.10000,154.78300
1998,-152.0,Kapingamarangi (Caroline Is.),1.10000,154.78300
1999,6.9,Kapingamarangi (Caroline Is.),1.10000,154.78300
2000,58.9,Kapingamarangi (Caroline Is.),1.10000,154.78300
2001,59.8,Kapingamarangi (Caroline Is.),1.10000,154.78300
2002,8.2,Kapingamarangi (Caroline Is.),1.10000,154.78300
2003,25.2,Kapingamarangi (Caroline Is.),1.10000,154.78300
2004,58.6,Kapingamarangi (Caroline Is.),1.10000,154.78300
2005,42.9,Kapingamarangi (Caroline Is.),1.10000,154.78300
2006,51.0,Kapingamarangi (Caroline Is.),1.10000,154.78300
2007,45.6,Kapingamarangi (Caroline Is.),1.10000,154.78300
2008,33.5,Kapingamarangi (Caroline Is.),1.10000,154.78300
2009,73.5,Kapingamarangi (Caroline Is.),1.10000,154.78300
2014,100.6,Kapingamarangi (Caroline Is.),1.10000,154.78300
