year,level_norm,city,latitude,longtitude
1994,0.0,Manado (Bitung),1.43000,125.20000
1995,37.2,Manado (Bitung),1.43000,125.20000
1999,67.3,Manado (Bitung),1.43000,125.20000
2000,67.6,Manado (Bitung),1.43000,125.20000
2001,74.7,Manado (Bitung),1.43000,125.20000
2008,122.0,Manado (Bitung),1.43000,125.20000
2009,90.1,Manado (Bitung),1.43000,125.20000
2010,113.7,Manado (Bitung),1.43000,125.20000
2011,196.4,Manado (Bitung),1.43000,125.20000
2012,136.5,Manado (Bitung),1.43000,125.20000
2013,154.4,Manado (Bitung),1.43000,125.20000
2014,111.0,Manado (Bitung),1.43000,125.20000
