year,level_norm,city,latitude,longtitude
1994,0.0,Ko Lak,11.80000,99.82000
1995,23.7,Ko Lak,11.80000,99.82000
1996,22.6,Ko Lak,11.80000,99.82000
1997,1.3,Ko Lak,11.80000,99.82000
1998,2.7,Ko Lak,11.80000,99.82000
1999,12.5,Ko Lak,11.80000,99.82000
2000,11.0,Ko Lak,11.80000,99.82000
2001,22.4,Ko Lak,11.80000,99.82000
2002,12.2,Ko Lak,11.80000,99.82000
2003,20.6,Ko Lak,11.80000,99.82000
2004,15.2,Ko Lak,11.80000,99.82000
2005,45.5,Ko Lak,11.80000,99.82000
2006,81.7,Ko Lak,11.80000,99.82000
2007,44.8,Ko Lak,11.80000,99.82000
2008,93.3,Ko Lak,11.80000,99.82000
2009,97.9,Ko Lak,11.80000,99.82000
2010,180.3,Ko Lak,11.80000,99.82000
2011,189.3,Ko Lak,11.80000,99.82000
2012,155.4,Ko Lak,11.80000,99.82000
2013,188.9,Ko Lak,11.80000,99.82000
2014,161.6,Ko Lak,11.80000,99.82000
