year,level_norm,city,latitude,longtitude
1994,0.0,Salalah,16.93500,54.00700
1995,-3.0,Salalah,16.93500,54.00700
1996,5.0,Salalah,16.93500,54.00700
1997,-9.8,Salalah,16.93500,54.00700
1998,8.4,Salalah,16.93500,54.00700
1999,-16.2,Salalah,16.93500,54.00700
2000,64.7,Salalah,16.93500,54.00700
2001,-15.2,Salalah,16.93500,54.00700
2002,-22.8,Salalah,16.93500,54.00700
2003,-3.3,Salalah,16.93500,54.00700
2004,10.2,Salalah,16.93500,54.00700
2005,32.6,Salalah,16.93500,54.00700
2006,-11.7,Salalah,16.93500,54.00700
2007,8.9,Salalah,16.93500,54.00700
2008,3.4,Salalah,16.93500,54.00700
2009,57.4,Salalah,16.93500,54.00700
2010,48.4,Salalah,16.93500,54.00700
2011,39.1,Salalah,16.93500,54.00700
2012,16.3,Salalah,16.93500,54.00700
2013,20.1,Salalah,16.93500,54.00700
2014,41.0,Salalah,16.93500,54.00700
