year,level_norm,city,latitude,longtitude
1994,0.0,Lime Tree Bay (St. Croix),17.76000,-64.75000
1995,-33.1,Lime Tree Bay (St. Croix),17.76000,-64.75000
1996,-28.4,Lime Tree Bay (St. Croix),17.76000,-64.75000
1997,9.1,Lime Tree Bay (St. Croix),17.76000,-64.75000
1998,21.5,Lime Tree Bay (St. Croix),17.76000,-64.75000
1999,-45.2,Lime Tree Bay (St. Croix),17.76000,-64.75000
2000,-41.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
2001,20.4,Lime Tree Bay (St. Croix),17.76000,-64.75000
2002,-7.1,Lime Tree Bay (St. Croix),17.76000,-64.75000
2003,23.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
2004,-3.1,Lime Tree Bay (St. Croix),17.76000,-64.75000
2005,19.4,Lime Tree Bay (St. Croix),17.76000,-64.75000
2006,21.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
2007,27.9,Lime Tree Bay (St. Croix),17.76000,-64.75000
2008,15.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
2009,-35.8,Lime Tree Bay (St. Croix),17.76000,-64.75000
2010,56.3,Lime Tree Bay (St. Croix),17.76000,-64.75000
2011,25.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
2012,58.9,Lime Tree Bay (St. Croix),17.76000,-64.75000
2013,27.9,Lime Tree Bay (St. Croix),17.76000,-64.75000
2014,47.6,Lime Tree Bay (St. Croix),17.76000,-64.75000
