year,level_norm,city,latitude,longtitude
1994,0.0,Kahului Harbor,20.89800,-156.46700
1995,59.0,Kahului Harbor,20.89800,-156.46700
1996,59.5,Kahului Harbor,20.89800,-156.46700
1997,35.9,Kahului Harbor,20.89800,-156.46700
1998,-24.7,Kahului Harbor,20.89800,-156.46700
1999,-2.2,Kahului Harbor,20.89800,-156.46700
2000,-29.7,Kahului Harbor,20.89800,-156.46700
2001,10.6,Kahului Harbor,20.89800,-156.46700
2002,-0.2,Kahului Harbor,20.89800,-156.46700
2003,76.3,Kahului Harbor,20.89800,-156.46700
2004,81.5,Kahului Harbor,20.89800,-156.46700
2005,52.4,Kahului Harbor,20.89800,-156.46700
2006,64.7,Kahului Harbor,20.89800,-156.46700
2007,34.7,Kahului Harbor,20.89800,-156.46700
2008,33.2,Kahului Harbor,20.89800,-156.46700
2009,-14.6,Kahului Harbor,20.89800,-156.46700
2010,15.2,Kahului Harbor,20.89800,-156.46700
2011,25.7,Kahului Harbor,20.89800,-156.46700
2012,0.4,Kahului Harbor,20.89800,-156.46700
2013,21.8,Kahului Harbor,20.89800,-156.46700
2014,55.9,Kahului Harbor,20.89800,-156.46700
