year,level_norm,city,latitude,longtitude
1994,0.0,Nawiliwili Bay,21.96700,-159.35000
1995,40.7,Nawiliwili Bay,21.96700,-159.35000
1996,65.0,Nawiliwili Bay,21.96700,-159.35000
1997,22.7,Nawiliwili Bay,21.96700,-159.35000
1998,-50.3,Nawiliwili Bay,21.96700,-159.35000
1999,5.4,Nawiliwili Bay,21.96700,-159.35000
2000,-14.5,Nawiliwili Bay,21.96700,-159.35000
2001,-20.3,Nawiliwili Bay,21.96700,-159.35000
2002,-6.0,Nawiliwili Bay,21.96700,-159.35000
2003,47.4,Nawiliwili Bay,21.96700,-159.35000
2004,39.1,Nawiliwili Bay,21.96700,-159.35000
2005,34.3,Nawiliwili Bay,21.96700,-159.35000
2006,82.5,Nawiliwili Bay,21.96700,-159.35000
2007,33.1,Nawiliwili Bay,21.96700,-159.35000
2008,49.9,Nawiliwili Bay,21.96700,-159.35000
2009,-5.1,Nawiliwili Bay,21.96700,-159.35000
2010,-3.5,Nawiliwili Bay,21.96700,-159.35000
2011,27.6,Nawiliwili Bay,21.96700,-159.35000
2012,24.2,Nawiliwili Bay,21.96700,-159.35000
2013,47.8,Nawiliwili Bay,21.96700,-159.35000
2014,64.2,Nawiliwili Bay,21.96700,-159.35000
