year,level_norm,city,latitude,longtitude
1994,0.0,Kaohsiung,22.61700,120.28300
1995,-27.3,Kaohsiung,22.61700,120.28300
1996,-37.0,Kaohsiung,22.61700,120.28300
1997,13.5,Kaohsiung,22.61700,120.28300
1998,-91.1,Kaohsiung,22.61700,120.28300
1999,-3.2,Kaohsiung,22.61700,120.28300
2000,-26.1,Kaohsiung,22.61700,120.28300
2001,25.0,Kaohsiung,22.61700,120.28300
2002,-64.7,Kaohsiung,22.61700,120.28300
2003,-12.3,Kaohsiung,22.61700,120.28300
2004,-34.3,Kaohsiung,22.61700,120.28300
2005,0.8,Kaohsiung,22.61700,120.28300
2006,-2.8,Kaohsiung,22.61700,120.28300
2007,-34.2,Kaohsiung,22.61700,120.28300
2008,12.7,Kaohsiung,22.61700,120.28300
2009,14.7,Kaohsiung,22.61700,120.28300
2010,-0.4,Kaohsiung,22.61700,120.28300
2011,-9.9,Kaohsiung,22.61700,120.28300
2012,44.7,Kaohsiung,22.61700,120.28300
2013,-19.3,Kaohsiung,22.61700,120.28300
2014,9.7,Kaohsiung,22.61700,120.28300
