year,level_norm,city,latitude,longtitude
1994,0.0,Pensacola,30.40300,-87.21200
1995,15.6,Pensacola,30.40300,-87.21200
1996,-8.5,Pensacola,30.40300,-87.21200
1997,7.3,Pensacola,30.40300,-87.21200
1998,38.8,Pensacola,30.40300,-87.21200
1999,34.7,Pensacola,30.40300,-87.21200
2000,-5.8,Pensacola,30.40300,-87.21200
2001,-5.2,Pensacola,30.40300,-87.21200
2002,12.6,Pensacola,30.40300,-87.21200
2003,66.9,Pensacola,30.40300,-87.21200
2004,-10.3,Pensacola,30.40300,-87.21200
2005,58.7,Pensacola,30.40300,-87.21200
2006,-7.3,Pensacola,30.40300,-87.21200
2007,16.0,Pensacola,30.40300,-87.21200
2008,39.7,Pensacola,30.40300,-87.21200
2009,80.5,Pensacola,30.40300,-87.21200
2010,59.2,Pensacola,30.40300,-87.21200
2011,23.3,Pensacola,30.40300,-87.21200
2012,95.3,Pensacola,30.40300,-87.21200
2013,96.9,Pensacola,30.40300,-87.21200
2014,81.0,Pensacola,30.40300,-87.21200
