year,level_norm,city,latitude,longtitude
1994,0.0,Fernandina Beach,30.68000,-81.47000
1995,-54.7,Fernandina Beach,30.68000,-81.47000
1996,-158.4,Fernandina Beach,30.68000,-81.47000
1997,-22.2,Fernandina Beach,30.68000,-81.47000
1998,-58.5,Fernandina Beach,30.68000,-81.47000
1999,-1.8,Fernandina Beach,30.68000,-81.47000
2000,-37.9,Fernandina Beach,30.68000,-81.47000
2001,-50.1,Fernandina Beach,30.68000,-81.47000
2002,-33.0,Fernandina Beach,30.68000,-81.47000
2003,-49.7,Fernandina Beach,30.68000,-81.47000
2004,-71.8,Fernandina Beach,30.68000,-81.47000
2005,6.6,Fernandina Beach,30.68000,-81.47000
2006,-164.8,Fernandina Beach,30.68000,-81.47000
2007,10.2,Fernandina Beach,30.68000,-81.47000
2008,-51.3,Fernandina Beach,30.68000,-81.47000
2009,-26.1,Fernandina Beach,30.68000,-81.47000
2010,-61.5,Fernandina Beach,30.68000,-81.47000
2011,-59.8,Fernandina Beach,30.68000,-81.47000
2012,-7.5,Fernandina Beach,30.68000,-81.47000
2013,-0.9,Fernandina Beach,30.68000,-81.47000
2014,48.9,Fernandina Beach,30.68000,-81.47000
