year,level_norm,city,latitude,longtitude
1994,0.0,Nagasaki,32.73300,129.86700
1995,-27.1,Nagasaki,32.73300,129.86700
1996,-19.7,Nagasaki,32.73300,129.86700
1997,-16.0,Nagasaki,32.73300,129.86700
1998,30.7,Nagasaki,32.73300,129.86700
1999,46.8,Nagasaki,32.73300,129.86700
2000,15.7,Nagasaki,32.73300,129.86700
2001,25.5,Nagasaki,32.73300,129.86700
2002,24.2,Nagasaki,32.73300,129.86700
2003,23.4,Nagasaki,32.73300,129.86700
2004,36.8,Nagasaki,32.73300,129.86700
2005,-10.7,Nagasaki,32.73300,129.86700
2006,35.3,Nagasaki,32.73300,129.86700
2007,33.4,Nagasaki,32.73300,129.86700
2008,26.3,Nagasaki,32.73300,129.86700
2009,41.0,Nagasaki,32.73300,129.86700
2010,68.1,Nagasaki,32.73300,129.86700
2011,47.0,Nagasaki,32.73300,129.86700
2012,98.1,Nagasaki,32.73300,129.86700
2013,70.3,Nagasaki,32.73300,129.86700
2014,83.2,Nagasaki,32.73300,129.86700
