year,level_norm,city,latitude,longtitude
1994,0.0,Los Angeles,33.71700,-118.27200
1995,-7.5,Los Angeles,33.71700,-118.27200
1996,-27.2,Los Angeles,33.71700,-118.27200
1997,67.7,Los Angeles,33.71700,-118.27200
1998,12.2,Los Angeles,33.71700,-118.27200
1999,-59.1,Los Angeles,33.71700,-118.27200
2000,-39.3,Los Angeles,33.71700,-118.27200
2001,-24.9,Los Angeles,33.71700,-118.27200
2002,-21.4,Los Angeles,33.71700,-118.27200
2003,-6.8,Los Angeles,33.71700,-118.27200
2004,7.9,Los Angeles,33.71700,-118.27200
2005,1.7,Los Angeles,33.71700,-118.27200
2006,0.7,Los Angeles,33.71700,-118.27200
2007,-34.1,Los Angeles,33.71700,-118.27200
2008,5.6,Los Angeles,33.71700,-118.27200
2009,16.4,Los Angeles,33.71700,-118.27200
2010,-5.6,Los Angeles,33.71700,-118.27200
2011,-12.1,Los Angeles,33.71700,-118.27200
2012,7.6,Los Angeles,33.71700,-118.27200
2013,3.0,Los Angeles,33.71700,-118.27200
2014,70.4,Los Angeles,33.71700,-118.27200
