year,level_norm,city,latitude,longtitude
1994,0.0,Wilmington,34.23000,-77.59000
1995,76.8,Wilmington,34.23000,-77.59000
1996,35.3,Wilmington,34.23000,-77.59000
1997,27.0,Wilmington,34.23000,-77.59000
1998,54.1,Wilmington,34.23000,-77.59000
1999,86.5,Wilmington,34.23000,-77.59000
2000,47.3,Wilmington,34.23000,-77.59000
2001,-4.9,Wilmington,34.23000,-77.59000
2002,6.9,Wilmington,34.23000,-77.59000
2003,48.7,Wilmington,34.23000,-77.59000
2004,-10.2,Wilmington,34.23000,-77.59000
2005,40.6,Wilmington,34.23000,-77.59000
2006,29.2,Wilmington,34.23000,-77.59000
2007,3.5,Wilmington,34.23000,-77.59000
2008,13.9,Wilmington,34.23000,-77.59000
2009,61.2,Wilmington,34.23000,-77.59000
2010,45.8,Wilmington,34.23000,-77.59000
2011,19.0,Wilmington,34.23000,-77.59000
2012,64.5,Wilmington,34.23000,-77.59000
2013,66.9,Wilmington,34.23000,-77.59000
2014,137.2,Wilmington,34.23000,-77.59000
