year,level_norm,city,latitude,longtitude
1994,0.0,Hamada (Hampton),34.90000,132.07000
1995,-3.4,Hamada (Hampton),34.90000,132.07000
1996,-17.0,Hamada (Hampton),34.90000,132.07000
1997,7.3,Hamada (Hampton),34.90000,132.07000
1998,24.6,Hamada (Hampton),34.90000,132.07000
1999,46.1,Hamada (Hampton),34.90000,132.07000
2000,29.8,Hamada (Hampton),34.90000,132.07000
2001,30.6,Hamada (Hampton),34.90000,132.07000
2002,45.0,Hamada (Hampton),34.90000,132.07000
2003,36.6,Hamada (Hampton),34.90000,132.07000
2004,60.9,Hamada (Hampton),34.90000,132.07000
2005,27.5,Hamada (Hampton),34.90000,132.07000
2006,40.8,Hamada (Hampton),34.90000,132.07000
2007,60.3,Hamada (Hampton),34.90000,132.07000
2008,39.2,Hamada (Hampton),34.90000,132.07000
2009,56.9,Hamada (Hampton),34.90000,132.07000
2010,88.9,Hamada (Hampton),34.90000,132.07000
2011,61.5,Hamada (Hampton),34.90000,132.07000
2012,112.2,Hamada (Hampton),34.90000,132.07000
2013,104.1,Hamada (Hampton),34.90000,132.07000
2014,77.5,Hamada (Hampton),34.90000,132.07000
