year,level_norm,city,latitude,longtitude
1994,0.0,Humboldt Bay,40.76700,-124.21700
1995,44.9,Humboldt Bay,40.76700,-124.21700
1996,21.1,Humboldt Bay,40.76700,-124.21700
1997,74.7,Humboldt Bay,40.76700,-124.21700
1998,75.5,Humboldt Bay,40.76700,-124.21700
1999,-22.0,Humboldt Bay,40.76700,-124.21700
2000,14.0,Humboldt Bay,40.76700,-124.21700
2001,7.2,Humboldt Bay,40.76700,-124.21700
2002,30.3,Humboldt Bay,40.76700,-124.21700
2003,63.8,Humboldt Bay,40.76700,-124.21700
2004,59.3,Humboldt Bay,40.76700,-124.21700
2005,77.6,Humboldt Bay,40.76700,-124.21700
2006,74.8,Humboldt Bay,40.76700,-124.21700
2007,5.0,Humboldt Bay,40.76700,-124.21700
2008,25.1,Humboldt Bay,40.76700,-124.21700
2009,53.1,Humboldt Bay,40.76700,-124.21700
2010,101.3,Humboldt Bay,40.76700,-124.21700
2011,62.0,Humboldt Bay,40.76700,-124.21700
2012,90.4,Humboldt Bay,40.76700,-124.21700
2013,42.8,Humboldt Bay,40.76700,-124.21700
2014,159.2,Humboldt Bay,40.76700,-124.21700
