year,level_norm,city,latitude,longtitude
1994,0.0,Montauk,41.07000,-71.86000
1995,21.1,Montauk,41.07000,-71.86000
1996,71.3,Montauk,41.07000,-71.86000
1997,63.4,Montauk,41.07000,-71.86000
1998,84.0,Montauk,41.07000,-71.86000
1999,43.9,Montauk,41.07000,-71.86000
2000,50.7,Montauk,41.07000,-71.86000
2001,52.9,Montauk,41.07000,-71.86000
2002,23.5,Montauk,41.07000,-71.86000
2003,59.5,Montauk,41.07000,-71.86000
2004,70.0,Montauk,41.07000,-71.86000
2005,109.0,Montauk,41.07000,-71.86000
2006,120.0,Montauk,41.07000,-71.86000
2007,57.8,Montauk,41.07000,-71.86000
2008,70.6,Montauk,41.07000,-71.86000
2009,116.6,Montauk,41.07000,-71.86000
2010,157.6,Montauk,41.07000,-71.86000
2011,138.5,Montauk,41.07000,-71.86000
2012,131.3,Montauk,41.07000,-71.86000
2013,111.3,Montauk,41.07000,-71.86000
2014,108.9,Montauk,41.07000,-71.86000
