year,level_norm,city,latitude,longtitude
1994,0.0,New London,41.37000,-72.10000
1995,34.4,New London,41.37000,-72.10000
1996,103.5,New London,41.37000,-72.10000
1997,92.9,New London,41.37000,-72.10000
1998,115.5,New London,41.37000,-72.10000
1999,71.6,New London,41.37000,-72.10000
2000,50.0,New London,41.37000,-72.10000
2001,62.2,New London,41.37000,-72.10000
2002,49.3,New London,41.37000,-72.10000
2003,80.2,New London,41.37000,-72.10000
2004,73.6,New London,41.37000,-72.10000
2005,128.2,New London,41.37000,-72.10000
2006,110.6,New London,41.37000,-72.10000
2007,76.5,New London,41.37000,-72.10000
2008,103.2,New London,41.37000,-72.10000
2009,135.2,New London,41.37000,-72.10000
2010,177.6,New London,41.37000,-72.10000
2011,164.6,New London,41.37000,-72.10000
2012,138.4,New London,41.37000,-72.10000
2013,109.2,New London,41.37000,-72.10000
2014,118.2,New London,41.37000,-72.10000
