year,level_norm,city,latitude,longtitude
1998,0.0,Marseille,43.28000,5.35000
1999,50.9,Marseille,43.28000,5.35000
2000,55.4,Marseille,43.28000,5.35000
2001,59.6,Marseille,43.28000,5.35000
2002,51.3,Marseille,43.28000,5.35000
2003,63.3,Marseille,43.28000,5.35000
2004,78.1,Marseille,43.28000,5.35000
2005,39.2,Marseille,43.28000,5.35000
2006,38.9,Marseille,43.28000,5.35000
2007,43.9,Marseille,43.28000,5.35000
2008,68.2,Marseille,43.28000,5.35000
2009,88.3,Marseille,43.28000,5.35000
2010,317.3,Marseille,43.28000,5.35000
2011,99.0,Marseille,43.28000,5.35000
2012,94.3,Marseille,43.28000,5.35000
2013,104.2,Marseille,43.28000,5.35000
2014,160.8,Marseille,43.28000,5.35000
