year,level_norm,city,latitude,longtitude
1994,0.0,Portland,43.66000,-70.25000
1995,45.4,Portland,43.66000,-70.25000
1996,76.4,Portland,43.66000,-70.25000
1997,64.3,Portland,43.66000,-70.25000
1998,79.0,Portland,43.66000,-70.25000
1999,28.6,Portland,43.66000,-70.25000
2000,30.1,Portland,43.66000,-70.25000
2001,27.3,Portland,43.66000,-70.25000
2002,14.6,Portland,43.66000,-70.25000
2003,46.4,Portland,43.66000,-70.25000
2004,49.3,Portland,43.66000,-70.25000
2005,105.9,Portland,43.66000,-70.25000
2006,80.1,Portland,43.66000,-70.25000
2007,23.7,Portland,43.66000,-70.25000
2008,46.3,Portland,43.66000,-70.25000
2009,99.7,Portland,43.66000,-70.25000
2010,172.7,Portland,43.66000,-70.25000
2011,126.0,Portland,43.66000,-70.25000
2012,120.8,Portland,43.66000,-70.25000
2013,102.4,Portland,43.66000,-70.25000
2014,94.5,Portland,43.66000,-70.25000
