year,level_norm,city,latitude,longtitude
1994,0.0,Wakkanai,45.40000,141.68000
1995,-0.0999999999999,Wakkanai,45.40000,141.68000
1996,-32.6,Wakkanai,45.40000,141.68000
1997,-14.0,Wakkanai,45.40000,141.68000
1998,-35.5,Wakkanai,45.40000,141.68000
1999,16.8,Wakkanai,45.40000,141.68000
2000,1.1,Wakkanai,45.40000,141.68000
2001,-13.4,Wakkanai,45.40000,141.68000
2002,21.3,Wakkanai,45.40000,141.68000
2003,-8.8,Wakkanai,45.40000,141.68000
2004,53.2,Wakkanai,45.40000,141.68000
2005,12.5,Wakkanai,45.40000,141.68000
2006,-0.5,Wakkanai,45.40000,141.68000
2007,10.1,Wakkanai,45.40000,141.68000
2008,-8.5,Wakkanai,45.40000,141.68000
2009,19.4,Wakkanai,45.40000,141.68000
2010,43.6,Wakkanai,45.40000,141.68000
2011,27.0,Wakkanai,45.40000,141.68000
2012,19.4,Wakkanai,45.40000,141.68000
2013,51.6,Wakkanai,45.40000,141.68000
2014,28.2,Wakkanai,45.40000,141.68000
