year,level_norm,city,latitude,longtitude
1994,0.0,Neah Bay,48.36800,-124.61700
1995,46.6,Neah Bay,48.36800,-124.61700
1996,-8.6,Neah Bay,48.36800,-124.61700
1997,77.4,Neah Bay,48.36800,-124.61700
1998,35.8,Neah Bay,48.36800,-124.61700
1999,-32.1,Neah Bay,48.36800,-124.61700
2000,-59.2,Neah Bay,48.36800,-124.61700
2001,-67.4,Neah Bay,48.36800,-124.61700
2002,-58.3,Neah Bay,48.36800,-124.61700
2003,-4.6,Neah Bay,48.36800,-124.61700
2004,-28.0,Neah Bay,48.36800,-124.61700
2005,-11.9,Neah Bay,48.36800,-124.61700
2006,-5.7,Neah Bay,48.36800,-124.61700
2007,-69.9,Neah Bay,48.36800,-124.61700
2008,-73.7,Neah Bay,48.36800,-124.61700
2009,-58.0,Neah Bay,48.36800,-124.61700
2010,14.9,Neah Bay,48.36800,-124.61700
2011,-46.6,Neah Bay,48.36800,-124.61700
2012,-4.5,Neah Bay,48.36800,-124.61700
2013,-117.8,Neah Bay,48.36800,-124.61700
2014,3.7,Neah Bay,48.36800,-124.61700
