year,level_norm,city,latitude,longtitude
1994,0.0,Victoria,48.42000,-123.37000
1995,38.6,Victoria,48.42000,-123.37000
1996,13.6,Victoria,48.42000,-123.37000
1997,84.7,Victoria,48.42000,-123.37000
1998,41.0,Victoria,48.42000,-123.37000
1999,0.0999999999999,Victoria,48.42000,-123.37000
2000,-24.3,Victoria,48.42000,-123.37000
2001,-34.2,Victoria,48.42000,-123.37000
2002,-14.9,Victoria,48.42000,-123.37000
2003,28.1,Victoria,48.42000,-123.37000
2004,11.3,Victoria,48.42000,-123.37000
2005,27.1,Victoria,48.42000,-123.37000
2006,39.6,Victoria,48.42000,-123.37000
2007,-18.5,Victoria,48.42000,-123.37000
2008,-25.4,Victoria,48.42000,-123.37000
2009,18.7,Victoria,48.42000,-123.37000
2010,59.5,Victoria,48.42000,-123.37000
2011,10.7,Victoria,48.42000,-123.37000
2012,49.9,Victoria,48.42000,-123.37000
2013,-43.2,Victoria,48.42000,-123.37000
2014,60.7,Victoria,48.42000,-123.37000
