year,level_norm,city,latitude,longtitude
1994,0.0,Prince Rupert,54.31700,-130.31700
1995,5.0,Prince Rupert,54.31700,-130.31700
1996,-5.7,Prince Rupert,54.31700,-130.31700
1997,75.7,Prince Rupert,54.31700,-130.31700
1998,43.4,Prince Rupert,54.31700,-130.31700
1999,17.4,Prince Rupert,54.31700,-130.31700
2000,-9.6,Prince Rupert,54.31700,-130.31700
2001,19.2,Prince Rupert,54.31700,-130.31700
2002,-13.5,Prince Rupert,54.31700,-130.31700
2003,50.0,Prince Rupert,54.31700,-130.31700
2004,20.3,Prince Rupert,54.31700,-130.31700
2005,64.2,Prince Rupert,54.31700,-130.31700
2006,40.1,Prince Rupert,54.31700,-130.31700
2007,50.9,Prince Rupert,54.31700,-130.31700
2008,18.1,Prince Rupert,54.31700,-130.31700
2009,2.6,Prince Rupert,54.31700,-130.31700
2010,76.9,Prince Rupert,54.31700,-130.31700
2011,42.8,Prince Rupert,54.31700,-130.31700
2012,58.1,Prince Rupert,54.31700,-130.31700
2013,-57.3,Prince Rupert,54.31700,-130.31700
2014,46.5,Prince Rupert,54.31700,-130.31700
