year,level_norm,city,latitude,longtitude
2001,0.0,Nain,56.54000,-61.69000
2002,-108.7,Nain,56.54000,-61.69000
2003,-55.5,Nain,56.54000,-61.69000
2004,-101.4,Nain,56.54000,-61.69000
2005,-80.7,Nain,56.54000,-61.69000
2006,-199.2,Nain,56.54000,-61.69000
2007,-114.4,Nain,56.54000,-61.69000
2008,-102.3,Nain,56.54000,-61.69000
2009,-100.3,Nain,56.54000,-61.69000
2010,-68.5,Nain,56.54000,-61.69000
2011,-119.7,Nain,56.54000,-61.69000
2012,-147.6,Nain,56.54000,-61.69000
2013,-99.3,Nain,56.54000,-61.69000
2014,-175.4,Nain,56.54000,-61.69000
