year,level_norm,city,latitude,longtitude
1994,0.0,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
1995,2.2,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
1996,-92.5,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
1997,-5.0,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
1998,21.5,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
1999,20.9,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2000,24.8,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2001,-12.1,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2002,-0.4,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2003,-4.0,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2004,29.1,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2005,6.0,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2006,-0.8,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2007,54.2,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2008,46.3,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2009,-19.2,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2010,-66.7,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2011,46.9,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2012,28.5,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2013,-28.1,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
2014,-20.7,Goteborg-Torshamnen (Gothenburg),57.68300,11.80000
