year,level_norm,city,latitude,longtitude
1994,0.0,Seldovia,59.43700,-151.71700
1995,1.3,Seldovia,59.43700,-151.71700
1996,-89.4,Seldovia,59.43700,-151.71700
1997,5.4,Seldovia,59.43700,-151.71700
1998,-4.0,Seldovia,59.43700,-151.71700
1999,-59.4,Seldovia,59.43700,-151.71700
2000,-68.4,Seldovia,59.43700,-151.71700
2001,-32.2,Seldovia,59.43700,-151.71700
2002,-80.9,Seldovia,59.43700,-151.71700
2003,-39.6,Seldovia,59.43700,-151.71700
2004,-84.6,Seldovia,59.43700,-151.71700
2005,-53.9,Seldovia,59.43700,-151.71700
2006,-62.1,Seldovia,59.43700,-151.71700
2007,-139.5,Seldovia,59.43700,-151.71700
2008,-123.5,Seldovia,59.43700,-151.71700
2009,-183.2,Seldovia,59.43700,-151.71700
2010,-116.2,Seldovia,59.43700,-151.71700
2011,-158.0,Seldovia,59.43700,-151.71700
2012,-144.5,Seldovia,59.43700,-151.71700
2013,-239.8,Seldovia,59.43700,-151.71700
2014,-129.2,Seldovia,59.43700,-151.71700
