year,level_norm,city,latitude,longtitude
1994,0.0,Rorvik,64.86700,11.25000
1995,7.8,Rorvik,64.86700,11.25000
1996,-85.5,Rorvik,64.86700,11.25000
1997,-0.4,Rorvik,64.86700,11.25000
1998,15.3,Rorvik,64.86700,11.25000
1999,24.6,Rorvik,64.86700,11.25000
2000,-7.6,Rorvik,64.86700,11.25000
2001,-15.1,Rorvik,64.86700,11.25000
2002,-2.3,Rorvik,64.86700,11.25000
2003,-3.2,Rorvik,64.86700,11.25000
2004,11.1,Rorvik,64.86700,11.25000
2005,10.7,Rorvik,64.86700,11.25000
2006,-7.5,Rorvik,64.86700,11.25000
2007,53.8,Rorvik,64.86700,11.25000
2008,56.7,Rorvik,64.86700,11.25000
2009,31.0,Rorvik,64.86700,11.25000
2010,-86.4,Rorvik,64.86700,11.25000
2011,32.1,Rorvik,64.86700,11.25000
2012,-31.5,Rorvik,64.86700,11.25000
2013,-14.1,Rorvik,64.86700,11.25000
2014,-40.8,Rorvik,64.86700,11.25000
