year,level_norm,city,latitude,longtitude
1994,0.0,Andenes,69.32000,16.15000
1995,6.4,Andenes,69.32000,16.15000
1996,-65.2,Andenes,69.32000,16.15000
1997,-2.9,Andenes,69.32000,16.15000
1998,-9.3,Andenes,69.32000,16.15000
1999,38.3,Andenes,69.32000,16.15000
2000,-5.3,Andenes,69.32000,16.15000
2001,-7.1,Andenes,69.32000,16.15000
2002,13.4,Andenes,69.32000,16.15000
2003,14.7,Andenes,69.32000,16.15000
2004,25.4,Andenes,69.32000,16.15000
2005,31.7,Andenes,69.32000,16.15000
2006,22.3,Andenes,69.32000,16.15000
2007,49.2,Andenes,69.32000,16.15000
2008,13.8,Andenes,69.32000,16.15000
2009,-2.7,Andenes,69.32000,16.15000
2010,-65.9,Andenes,69.32000,16.15000
2014,-12.5,Andenes,69.32000,16.15000
