year,level_norm,city,latitude,longtitude
1994,0.0,Prudhoe Bay,70.38800,-148.51000
1995,5.1,Prudhoe Bay,70.38800,-148.51000
1996,40.2,Prudhoe Bay,70.38800,-148.51000
1997,32.2,Prudhoe Bay,70.38800,-148.51000
1998,-9.1,Prudhoe Bay,70.38800,-148.51000
1999,-12.5,Prudhoe Bay,70.38800,-148.51000
2000,53.0,Prudhoe Bay,70.38800,-148.51000
2001,51.3,Prudhoe Bay,70.38800,-148.51000
2002,74.7,Prudhoe Bay,70.38800,-148.51000
2003,126.1,Prudhoe Bay,70.38800,-148.51000
2004,58.1,Prudhoe Bay,70.38800,-148.51000
2005,23.2,Prudhoe Bay,70.38800,-148.51000
2006,77.9,Prudhoe Bay,70.38800,-148.51000
2007,-55.0,Prudhoe Bay,70.38800,-148.51000
2008,38.6,Prudhoe Bay,70.38800,-148.51000
2009,53.8,Prudhoe Bay,70.38800,-148.51000
2010,42.0,Prudhoe Bay,70.38800,-148.51000
2011,71.0,Prudhoe Bay,70.38800,-148.51000
2012,123.8,Prudhoe Bay,70.38800,-148.51000
2013,8.5,Prudhoe Bay,70.38800,-148.51000
2014,23.2,Prudhoe Bay,70.38800,-148.51000
