year,level_norm,city,latitude,longtitude
1994,0.0,Balboa,8.97000,-79.57000
1995,-1.2,Balboa,8.97000,-79.57000
1996,20.3,Balboa,8.97000,-79.57000
1997,112.9,Balboa,8.97000,-79.57000
1998,20.4,Balboa,8.97000,-79.57000
1999,-12.5,Balboa,8.97000,-79.57000
2000,-31.1,Balboa,8.97000,-79.57000
2001,-39.8,Balboa,8.97000,-79.57000
2002,37.5,Balboa,8.97000,-79.57000
2003,180.3,Balboa,8.97000,-79.57000
2004,77.6,Balboa,8.97000,-79.57000
2005,150.7,Balboa,8.97000,-79.57000
2006,70.5,Balboa,8.97000,-79.57000
2007,-6.9,Balboa,8.97000,-79.57000
2008,59.9,Balboa,8.97000,-79.57000
2009,-0.4,Balboa,8.97000,-79.57000
2010,-13.9,Balboa,8.97000,-79.57000
2011,-0.8,Balboa,8.97000,-79.57000
2012,-29.0,Balboa,8.97000,-79.57000
2013,-0.8,Balboa,8.97000,-79.57000
2014,12.1,Balboa,8.97000,-79.57000
