year,level_norm,city
1984,0.0,Abashiri
1985,-32.0,Abashiri
1986,-13.1,Abashiri
1987,-22.0,Abashiri
1988,-50.5,Abashiri
1989,-56.7,Abashiri
1990,-64.8,Abashiri
1991,-27.9,Abashiri
1992,-37.8,Abashiri
1993,-19.6,Abashiri
1994,8.3,Abashiri
1995,34.6,Abashiri
1996,14.1,Abashiri
1997,43.7,Abashiri
1998,3.2,Abashiri
1999,25.6,Abashiri
2000,35.8,Abashiri
2001,4.1,Abashiri
2002,29.9,Abashiri
2003,-0.2,Abashiri
2004,52.9,Abashiri
2005,44.6,Abashiri
2006,6.2,Abashiri
2007,10.3,Abashiri
2008,-5.6,Abashiri
2009,24.0,Abashiri
2010,40.3,Abashiri
2011,36.0,Abashiri
2012,15.5,Abashiri
2013,49.2,Abashiri
2014,52.2,Abashiri
