year,level_norm,city
1984,0.0,Aburatsu
1985,-19.7,Aburatsu
1986,32.0,Aburatsu
1987,16.1,Aburatsu
1988,10.9,Aburatsu
1989,75.9,Aburatsu
1990,26.7,Aburatsu
1991,64.7,Aburatsu
1992,79.0,Aburatsu
1993,42.9,Aburatsu
1994,97.3,Aburatsu
1995,45.9,Aburatsu
1996,54.0,Aburatsu
1997,71.2,Aburatsu
1998,99.3,Aburatsu
1999,120.6,Aburatsu
2000,69.5,Aburatsu
2001,112.1,Aburatsu
2002,124.7,Aburatsu
2003,116.7,Aburatsu
2004,116.5,Aburatsu
2005,54.4,Aburatsu
2006,115.5,Aburatsu
2007,86.8,Aburatsu
2008,91.3,Aburatsu
2009,106.6,Aburatsu
2010,120.7,Aburatsu
2011,131.2,Aburatsu
2012,168.7,Aburatsu
2013,115.7,Aburatsu
2014,138.9,Aburatsu
