year,level_norm,city
1984,0.0,Adak
1985,-25.1,Adak
1986,38.3,Adak
1987,56.2,Adak
1988,59.8,Adak
1989,-23.8,Adak
1990,-29.7,Adak
1991,7.3,Adak
1992,12.4,Adak
1993,22.0,Adak
1994,-34.8,Adak
1995,-2.2,Adak
1996,-26.4,Adak
1997,30.3,Adak
1998,15.9,Adak
1999,-63.3,Adak
2000,-30.4,Adak
2001,-56.4,Adak
2002,-57.6,Adak
2003,-43.5,Adak
2004,-40.1,Adak
2005,-20.8,Adak
2006,-84.8,Adak
2007,-69.2,Adak
2008,-94.9,Adak
2009,-66.6,Adak
2010,-69.4,Adak
2011,-61.8,Adak
2012,-121.4,Adak
2013,-112.5,Adak
2014,-25.1,Adak
