year,level_norm,city
1984,0.0,Antofagasta
1985,-27.6,Antofagasta
1986,-24.5,Antofagasta
1987,-50.9,Antofagasta
1988,-97.8,Antofagasta
1989,-51.2,Antofagasta
1990,-42.1,Antofagasta
1991,-52.0,Antofagasta
1992,17.3,Antofagasta
1993,-8.8,Antofagasta
1994,-28.8,Antofagasta
1995,-81.6,Antofagasta
1996,-93.0,Antofagasta
1997,-12.0,Antofagasta
1998,-75.2,Antofagasta
1999,-71.9,Antofagasta
2000,-89.0,Antofagasta
2001,-26.2,Antofagasta
2002,-38.2,Antofagasta
2003,45.1,Antofagasta
2004,0.0,Antofagasta
2005,-71.3,Antofagasta
2006,-55.2,Antofagasta
2007,-78.4,Antofagasta
2008,-73.4,Antofagasta
2009,-61.3,Antofagasta
2010,-56.2,Antofagasta
2011,-25.0,Antofagasta
2012,-26.2,Antofagasta
2013,-59.6,Antofagasta
2014,-67.9,Antofagasta
