year,level_norm,city
1984,0.0,Astoria (Tongue Point)
1985,-121.7,Astoria (Tongue Point)
1986,-43.5,Astoria (Tongue Point)
1987,-69.9,Astoria (Tongue Point)
1988,-113.6,Astoria (Tongue Point)
1989,-106.5,Astoria (Tongue Point)
1990,-50.5,Astoria (Tongue Point)
1991,-62.3,Astoria (Tongue Point)
1992,-43.7,Astoria (Tongue Point)
1993,-56.8,Astoria (Tongue Point)
1994,-66.4,Astoria (Tongue Point)
1995,9.2,Astoria (Tongue Point)
1996,20.8,Astoria (Tongue Point)
1997,91.8,Astoria (Tongue Point)
1998,19.3,Astoria (Tongue Point)
1999,-24.3,Astoria (Tongue Point)
2000,-83.6,Astoria (Tongue Point)
2001,-131.0,Astoria (Tongue Point)
2002,-77.4,Astoria (Tongue Point)
2003,-38.1,Astoria (Tongue Point)
2004,-57.1,Astoria (Tongue Point)
2005,-56.8,Astoria (Tongue Point)
2006,-6.9,Astoria (Tongue Point)
2007,-86.9,Astoria (Tongue Point)
2008,-77.6,Astoria (Tongue Point)
2009,-67.3,Astoria (Tongue Point)
2010,-19.7,Astoria (Tongue Point)
2011,-13.2,Astoria (Tongue Point)
2012,28.0,Astoria (Tongue Point)
2013,-107.1,Astoria (Tongue Point)
2014,18.5,Astoria (Tongue Point)
