year,level_norm,city
1984,0.0,Atlantic City
1985,-29.5,Atlantic City
1986,-5.8,Atlantic City
1987,16.4,Atlantic City
1988,-40.9,Atlantic City
1989,-39.1,Atlantic City
1990,-42.2,Atlantic City
1991,26.1,Atlantic City
1992,59.8,Atlantic City
1993,70.9,Atlantic City
1994,-44.5,Atlantic City
1995,-16.0,Atlantic City
1996,77.1,Atlantic City
1997,63.9,Atlantic City
1998,98.7,Atlantic City
1999,52.7,Atlantic City
2000,27.6,Atlantic City
2001,48.3,Atlantic City
2002,62.9,Atlantic City
2003,44.1,Atlantic City
2004,51.0,Atlantic City
2005,106.8,Atlantic City
2006,82.5,Atlantic City
2007,47.6,Atlantic City
2008,73.1,Atlantic City
2009,117.9,Atlantic City
2010,150.1,Atlantic City
2011,140.2,Atlantic City
2012,129.8,Atlantic City
2013,79.9,Atlantic City
2014,105.5,Atlantic City
