year,level_norm,city
1984,0.0,Brest
1985,10.0,Brest
1986,-15.1,Brest
1987,21.6,Brest
1988,29.4,Brest
1989,30.9,Brest
1990,13.6,Brest
1991,-18.2,Brest
1992,-14.0,Brest
1993,15.0,Brest
1994,42.8,Brest
1995,42.2,Brest
1996,36.0,Brest
1997,45.0,Brest
1998,29.9,Brest
1999,39.0,Brest
2000,65.2,Brest
2001,56.5,Brest
2002,66.5,Brest
2003,55.4,Brest
2004,46.7,Brest
2005,-0.400000000001,Brest
2006,39.2,Brest
2007,34.9,Brest
2008,62.4,Brest
2009,73.7,Brest
2010,83.1,Brest
2011,44.0,Brest
2012,52.3,Brest
2013,71.6,Brest
2014,128.5,Brest
