year,level_norm,city
1984,0.0,Buenaventura
1985,-80.7,Buenaventura
1986,-19.2,Buenaventura
1987,33.6,Buenaventura
1988,-59.0,Buenaventura
1989,-76.0,Buenaventura
1990,21.0,Buenaventura
1991,28.9,Buenaventura
1992,-10.6,Buenaventura
1993,16.0,Buenaventura
1994,11.8,Buenaventura
1995,-0.7,Buenaventura
1996,-6.5,Buenaventura
1997,114.5,Buenaventura
1998,13.3,Buenaventura
1999,9.5,Buenaventura
2000,-5.9,Buenaventura
2001,-8.3,Buenaventura
2002,67.2,Buenaventura
2003,18.2,Buenaventura
2004,50.6,Buenaventura
2005,25.0,Buenaventura
2006,16.6,Buenaventura
2007,-28.5,Buenaventura
2008,16.5,Buenaventura
2009,65.9,Buenaventura
2010,70.6,Buenaventura
2011,-29.9,Buenaventura
2012,132.0,Buenaventura
2013,69.3,Buenaventura
2014,108.6,Buenaventura
