year,level_norm,city
1984,0.0,Burnett Heads (Bundaberg)
1985,-15.3,Burnett Heads (Bundaberg)
1986,-32.8,Burnett Heads (Bundaberg)
1987,-40.5,Burnett Heads (Bundaberg)
1988,22.6,Burnett Heads (Bundaberg)
1989,43.8,Burnett Heads (Bundaberg)
1990,12.9,Burnett Heads (Bundaberg)
1991,31.0,Burnett Heads (Bundaberg)
1992,24.2,Burnett Heads (Bundaberg)
1993,-14.5,Burnett Heads (Bundaberg)
1994,-1.6,Burnett Heads (Bundaberg)
1995,2.7,Burnett Heads (Bundaberg)
1996,9.8,Burnett Heads (Bundaberg)
1997,-8.7,Burnett Heads (Bundaberg)
1998,37.8,Burnett Heads (Bundaberg)
1999,40.2,Burnett Heads (Bundaberg)
2000,22.6,Burnett Heads (Bundaberg)
2001,23.7,Burnett Heads (Bundaberg)
2002,-7.6,Burnett Heads (Bundaberg)
2003,28.8,Burnett Heads (Bundaberg)
2004,-2.1,Burnett Heads (Bundaberg)
2005,11.2,Burnett Heads (Bundaberg)
2006,-12.3,Burnett Heads (Bundaberg)
2007,11.7,Burnett Heads (Bundaberg)
2008,18.7,Burnett Heads (Bundaberg)
2009,23.5,Burnett Heads (Bundaberg)
2010,110.6,Burnett Heads (Bundaberg)
2011,83.4,Burnett Heads (Bundaberg)
2012,46.6,Burnett Heads (Bundaberg)
2013,115.7,Burnett Heads (Bundaberg)
2014,134.5,Burnett Heads (Bundaberg)
