year,level_norm,city
1984,0.0,Cape May
1985,-26.1,Cape May
1986,-24.8,Cape May
1987,16.3,Cape May
1988,-51.8,Cape May
1989,-38.3,Cape May
1990,-46.8,Cape May
1991,0.2,Cape May
1992,25.9,Cape May
1993,41.1,Cape May
1994,-6.5,Cape May
1995,31.0,Cape May
1996,79.7,Cape May
1997,69.9,Cape May
1998,93.8,Cape May
1999,54.2,Cape May
2000,36.1,Cape May
2001,44.8,Cape May
2002,27.8,Cape May
2003,90.9,Cape May
2004,62.7,Cape May
2005,120.6,Cape May
2006,100.9,Cape May
2007,66.5,Cape May
2008,99.4,Cape May
2009,142.7,Cape May
2010,164.0,Cape May
2011,140.8,Cape May
2012,141.0,Cape May
2013,112.9,Cape May
2014,127.5,Cape May
