year,level_norm,city
1984,0.0,Charleston
1985,-69.6,Charleston
1986,-6.7,Charleston
1987,-8.7,Charleston
1988,-68.5,Charleston
1989,-70.8,Charleston
1990,-43.8,Charleston
1991,-20.6,Charleston
1992,48.6,Charleston
1993,30.4,Charleston
1994,-9.1,Charleston
1995,49.6,Charleston
1996,16.0,Charleston
1997,61.3,Charleston
1998,52.1,Charleston
1999,-38.6,Charleston
2000,-27.5,Charleston
2001,-43.9,Charleston
2002,-20.8,Charleston
2003,27.7,Charleston
2004,6.2,Charleston
2005,19.0,Charleston
2006,31.6,Charleston
2007,-42.7,Charleston
2008,-34.3,Charleston
2009,-18.2,Charleston
2010,40.6,Charleston
2011,-16.1,Charleston
2012,28.3,Charleston
2013,-63.4,Charleston
2014,54.7,Charleston
