year,level_norm,city
1984,0.0,Chichijima
1985,-51.8,Chichijima
1986,23.7,Chichijima
1987,66.9,Chichijima
1988,44.3,Chichijima
1989,65.2,Chichijima
1990,115.5,Chichijima
1991,61.8,Chichijima
1992,47.1,Chichijima
1993,105.8,Chichijima
1994,114.5,Chichijima
1995,73.6,Chichijima
1996,53.9,Chichijima
1997,89.8,Chichijima
1998,152.9,Chichijima
1999,100.3,Chichijima
2000,178.0,Chichijima
2001,127.6,Chichijima
2002,92.1,Chichijima
2003,152.3,Chichijima
2004,93.1,Chichijima
2005,135.0,Chichijima
2006,122.5,Chichijima
2007,114.3,Chichijima
2008,76.3,Chichijima
2009,140.3,Chichijima
2010,126.6,Chichijima
2011,177.3,Chichijima
2012,97.4,Chichijima
2013,45.4,Chichijima
2014,94.4,Chichijima
