year,level_norm,city
1984,0.0,Christmas Is. (Line Is.)
1985,87.8,Christmas Is. (Line Is.)
1986,135.6,Christmas Is. (Line Is.)
1987,118.3,Christmas Is. (Line Is.)
1988,-68.9,Christmas Is. (Line Is.)
1989,48.3,Christmas Is. (Line Is.)
1990,118.6,Christmas Is. (Line Is.)
1991,138.9,Christmas Is. (Line Is.)
1992,111.5,Christmas Is. (Line Is.)
1993,94.9,Christmas Is. (Line Is.)
1994,118.9,Christmas Is. (Line Is.)
1995,56.6,Christmas Is. (Line Is.)
1996,76.8,Christmas Is. (Line Is.)
1997,224.9,Christmas Is. (Line Is.)
1998,-67.5,Christmas Is. (Line Is.)
1999,-11.0,Christmas Is. (Line Is.)
2000,57.7,Christmas Is. (Line Is.)
2001,88.1,Christmas Is. (Line Is.)
2002,169.5,Christmas Is. (Line Is.)
2003,79.7,Christmas Is. (Line Is.)
2004,133.3,Christmas Is. (Line Is.)
2005,92.8,Christmas Is. (Line Is.)
2006,104.5,Christmas Is. (Line Is.)
2007,26.4,Christmas Is. (Line Is.)
2008,-8.9,Christmas Is. (Line Is.)
2009,140.6,Christmas Is. (Line Is.)
2010,36.1,Christmas Is. (Line Is.)
2011,54.5,Christmas Is. (Line Is.)
2012,103.7,Christmas Is. (Line Is.)
2013,101.3,Christmas Is. (Line Is.)
2014,186.7,Christmas Is. (Line Is.)
