year,level_norm,city
1984,0.0,Crescent City
1985,-49.7,Crescent City
1986,9.9,Crescent City
1987,-18.6,Crescent City
1988,-67.1,Crescent City
1989,-36.0,Crescent City
1990,-26.8,Crescent City
1991,-10.0,Crescent City
1992,76.1,Crescent City
1993,49.5,Crescent City
1994,-5.1,Crescent City
1995,42.0,Crescent City
1996,-0.5,Crescent City
1997,27.8,Crescent City
1998,33.0,Crescent City
1999,-57.1,Crescent City
2000,-39.8,Crescent City
2001,-62.2,Crescent City
2002,-33.7,Crescent City
2003,-1.9,Crescent City
2004,-13.6,Crescent City
2005,7.7,Crescent City
2006,8.8,Crescent City
2007,-73.8,Crescent City
2008,-58.6,Crescent City
2009,-36.1,Crescent City
2010,0.8,Crescent City
2011,-61.7,Crescent City
2012,-32.3,Crescent City
2013,-104.2,Crescent City
2014,9.8,Crescent City
