year,level_norm,city
1984,0.0,Cuxhaven
1985,6.1,Cuxhaven
1986,11.9,Cuxhaven
1987,10.9,Cuxhaven
1988,98.4,Cuxhaven
1989,67.2,Cuxhaven
1990,147.6,Cuxhaven
1991,41.5,Cuxhaven
1992,37.2,Cuxhaven
1993,3.5,Cuxhaven
1994,113.2,Cuxhaven
1995,114.1,Cuxhaven
1996,-66.7,Cuxhaven
1997,35.2,Cuxhaven
1998,132.6,Cuxhaven
1999,127.3,Cuxhaven
2000,115.7,Cuxhaven
2001,97.7,Cuxhaven
2002,85.9,Cuxhaven
2003,88.8,Cuxhaven
2004,139.0,Cuxhaven
2005,91.9,Cuxhaven
2006,96.0,Cuxhaven
2007,181.5,Cuxhaven
2008,142.9,Cuxhaven
2009,79.8,Cuxhaven
2010,62.7,Cuxhaven
2011,118.9,Cuxhaven
2012,88.5,Cuxhaven
2013,57.3,Cuxhaven
2014,91.9,Cuxhaven
