year,level_norm,city
1984,0.0,Darwin
1985,-0.2,Darwin
1986,3.1,Darwin
1987,-84.8,Darwin
1988,22.1,Darwin
1989,52.6,Darwin
1990,-35.0,Darwin
1991,-42.4,Darwin
1992,-54.6,Darwin
1993,-69.7,Darwin
1994,-52.6,Darwin
1995,11.1,Darwin
1996,60.3,Darwin
1997,-53.4,Darwin
1998,52.6,Darwin
1999,125.1,Darwin
2000,147.9,Darwin
2001,114.4,Darwin
2002,0.900000000001,Darwin
2003,20.1,Darwin
2004,21.4,Darwin
2005,30.3,Darwin
2006,38.4,Darwin
2007,64.2,Darwin
2008,137.4,Darwin
2009,102.9,Darwin
2010,150.9,Darwin
2011,177.5,Darwin
2012,142.1,Darwin
2013,162.7,Darwin
2014,99.5,Darwin
