year,level_norm,city
1984,0.0,Duck Pier
1985,-52.8,Duck Pier
1986,-31.4,Duck Pier
1987,21.9,Duck Pier
1988,-86.9,Duck Pier
1989,-49.4,Duck Pier
1990,-59.2,Duck Pier
1991,17.3,Duck Pier
1992,5.2,Duck Pier
1993,20.2,Duck Pier
1994,-44.6,Duck Pier
1995,-16.7,Duck Pier
1996,23.5,Duck Pier
1997,42.7,Duck Pier
1998,76.1,Duck Pier
1999,37.9,Duck Pier
2000,-0.900000000001,Duck Pier
2001,21.9,Duck Pier
2002,6.8,Duck Pier
2003,39.0,Duck Pier
2004,28.9,Duck Pier
2005,90.7,Duck Pier
2006,49.7,Duck Pier
2007,18.5,Duck Pier
2008,39.1,Duck Pier
2009,106.7,Duck Pier
2010,121.5,Duck Pier
2011,77.6,Duck Pier
2012,95.5,Duck Pier
2013,74.3,Duck Pier
2014,99.1,Duck Pier
