year,level_norm,city
1984,0.0,Eastport
1985,-5.5,Eastport
1986,-7.5,Eastport
1987,-1.7,Eastport
1988,-16.3,Eastport
1989,-35.1,Eastport
1990,-43.6,Eastport
1991,3.3,Eastport
1992,-8.0,Eastport
1993,-2.2,Eastport
1994,-34.7,Eastport
1995,0.5,Eastport
1996,44.8,Eastport
1997,41.7,Eastport
1998,34.7,Eastport
1999,0.8,Eastport
2000,4.7,Eastport
2001,5.0,Eastport
2002,0.8,Eastport
2003,14.5,Eastport
2004,5.2,Eastport
2005,53.0,Eastport
2006,50.1,Eastport
2007,16.4,Eastport
2008,24.5,Eastport
2009,61.5,Eastport
2010,129.3,Eastport
2011,104.8,Eastport
2012,80.4,Eastport
2013,76.4,Eastport
2014,62.9,Eastport
