year,level_norm,city
1984,0.0,Fort Denison (Sydney)
1985,-5.9,Fort Denison (Sydney)
1986,-8.7,Fort Denison (Sydney)
1987,-37.8,Fort Denison (Sydney)
1988,5.9,Fort Denison (Sydney)
1989,13.8,Fort Denison (Sydney)
1990,31.1,Fort Denison (Sydney)
1991,-0.1,Fort Denison (Sydney)
1992,-7.3,Fort Denison (Sydney)
1993,-41.3,Fort Denison (Sydney)
1994,-32.1,Fort Denison (Sydney)
1995,-28.2,Fort Denison (Sydney)
1996,-16.1,Fort Denison (Sydney)
1997,-64.0,Fort Denison (Sydney)
1998,2.2,Fort Denison (Sydney)
1999,-8.6,Fort Denison (Sydney)
2000,10.1,Fort Denison (Sydney)
2001,55.0,Fort Denison (Sydney)
2002,-1.9,Fort Denison (Sydney)
2003,-5.5,Fort Denison (Sydney)
2004,-10.0,Fort Denison (Sydney)
2005,3.8,Fort Denison (Sydney)
2006,-14.5,Fort Denison (Sydney)
2007,11.4,Fort Denison (Sydney)
2008,5.3,Fort Denison (Sydney)
2009,13.1,Fort Denison (Sydney)
2010,18.6,Fort Denison (Sydney)
2011,41.0,Fort Denison (Sydney)
2012,19.9,Fort Denison (Sydney)
2013,73.9,Fort Denison (Sydney)
2014,45.3,Fort Denison (Sydney)
