year,level_norm,city
1984,0.0,Fort Pulaski
1985,4.3,Fort Pulaski
1986,27.3,Fort Pulaski
1987,-0.3,Fort Pulaski
1988,-28.7,Fort Pulaski
1989,-34.6,Fort Pulaski
1990,-8.6,Fort Pulaski
1991,52.5,Fort Pulaski
1992,32.7,Fort Pulaski
1993,27.8,Fort Pulaski
1994,7.3,Fort Pulaski
1995,99.7,Fort Pulaski
1996,0.6,Fort Pulaski
1997,61.9,Fort Pulaski
1998,38.0,Fort Pulaski
1999,93.4,Fort Pulaski
2000,53.2,Fort Pulaski
2001,30.6,Fort Pulaski
2002,50.1,Fort Pulaski
2003,24.8,Fort Pulaski
2004,13.2,Fort Pulaski
2005,97.6,Fort Pulaski
2006,32.1,Fort Pulaski
2007,79.6,Fort Pulaski
2008,46.0,Fort Pulaski
2009,82.2,Fort Pulaski
2010,52.6,Fort Pulaski
2011,61.7,Fort Pulaski
2012,94.7,Fort Pulaski
2013,122.6,Fort Pulaski
2014,154.2,Fort Pulaski
