year,level_norm,city
1984,0.0,Goteborg-Torshamnen (Gothenburg)
1985,4.9,Goteborg-Torshamnen (Gothenburg)
1986,16.9,Goteborg-Torshamnen (Gothenburg)
1987,-3.3,Goteborg-Torshamnen (Gothenburg)
1988,49.7,Goteborg-Torshamnen (Gothenburg)
1989,104.7,Goteborg-Torshamnen (Gothenburg)
1990,103.5,Goteborg-Torshamnen (Gothenburg)
1991,-3.3,Goteborg-Torshamnen (Gothenburg)
1992,22.6,Goteborg-Torshamnen (Gothenburg)
1993,-6.4,Goteborg-Torshamnen (Gothenburg)
1994,29.4,Goteborg-Torshamnen (Gothenburg)
1995,31.6,Goteborg-Torshamnen (Gothenburg)
1996,-63.1,Goteborg-Torshamnen (Gothenburg)
1997,24.4,Goteborg-Torshamnen (Gothenburg)
1998,50.9,Goteborg-Torshamnen (Gothenburg)
1999,50.3,Goteborg-Torshamnen (Gothenburg)
2000,54.2,Goteborg-Torshamnen (Gothenburg)
2001,17.3,Goteborg-Torshamnen (Gothenburg)
2002,29.0,Goteborg-Torshamnen (Gothenburg)
2003,25.4,Goteborg-Torshamnen (Gothenburg)
2004,58.5,Goteborg-Torshamnen (Gothenburg)
2005,35.4,Goteborg-Torshamnen (Gothenburg)
2006,28.6,Goteborg-Torshamnen (Gothenburg)
2007,83.6,Goteborg-Torshamnen (Gothenburg)
2008,75.7,Goteborg-Torshamnen (Gothenburg)
2009,10.2,Goteborg-Torshamnen (Gothenburg)
2010,-37.3,Goteborg-Torshamnen (Gothenburg)
2011,76.3,Goteborg-Torshamnen (Gothenburg)
2012,57.9,Goteborg-Torshamnen (Gothenburg)
2013,1.3,Goteborg-Torshamnen (Gothenburg)
2014,8.7,Goteborg-Torshamnen (Gothenburg)
