year,level_norm,city
1984,0.0,Grand Isle
1985,3.9,Grand Isle
1986,-2.8,Grand Isle
1987,-28.9,Grand Isle
1988,-53.6,Grand Isle
1989,-36.2,Grand Isle
1990,29.7,Grand Isle
1991,68.3,Grand Isle
1992,39.6,Grand Isle
1993,31.9,Grand Isle
1994,50.4,Grand Isle
1995,68.1,Grand Isle
1996,32.4,Grand Isle
1997,52.7,Grand Isle
1998,97.8,Grand Isle
1999,79.1,Grand Isle
2000,41.3,Grand Isle
2001,50.9,Grand Isle
2002,107.2,Grand Isle
2003,106.4,Grand Isle
2004,96.5,Grand Isle
2005,110.9,Grand Isle
2006,62.6,Grand Isle
2007,138.8,Grand Isle
2008,157.3,Grand Isle
2009,148.9,Grand Isle
2010,152.7,Grand Isle
2011,135.3,Grand Isle
2012,203.2,Grand Isle
2013,209.5,Grand Isle
2014,171.4,Grand Isle
