year,level_norm,city
1984,0.0,Hakodate
1985,-7.4,Hakodate
1986,10.0,Hakodate
1987,13.2,Hakodate
1988,-10.4,Hakodate
1989,-7.9,Hakodate
1990,10.9,Hakodate
1991,17.7,Hakodate
1992,8.1,Hakodate
1993,6.6,Hakodate
1994,2.4,Hakodate
1995,17.9,Hakodate
1996,-15.0,Hakodate
1997,10.2,Hakodate
1998,-7.9,Hakodate
1999,11.9,Hakodate
2000,13.0,Hakodate
2001,-13.3,Hakodate
2002,14.5,Hakodate
2003,-6.3,Hakodate
2004,35.9,Hakodate
2005,24.9,Hakodate
2006,0.0999999999999,Hakodate
2007,16.5,Hakodate
2008,-12.2,Hakodate
2009,12.2,Hakodate
2010,37.6,Hakodate
2011,-15.6,Hakodate
2012,-11.1,Hakodate
2013,-12.8,Hakodate
2014,-55.7,Hakodate
