year,level_norm,city
1984,0.0,Halifax
1985,10.0,Halifax
1986,-12.8,Halifax
1987,13.9,Halifax
1988,10.1,Halifax
1989,8.1,Halifax
1990,-8.3,Halifax
1991,22.2,Halifax
1992,8.3,Halifax
1993,12.1,Halifax
1994,-14.1,Halifax
1995,29.7,Halifax
1996,57.6,Halifax
1997,76.3,Halifax
1998,52.3,Halifax
1999,27.9,Halifax
2000,47.7,Halifax
2001,36.0,Halifax
2002,26.0,Halifax
2003,-16.7,Halifax
2004,56.9,Halifax
2005,67.9,Halifax
2006,73.9,Halifax
2007,33.8,Halifax
2008,50.8,Halifax
2009,89.6,Halifax
2010,162.5,Halifax
2011,125.2,Halifax
2012,101.2,Halifax
2013,104.7,Halifax
2014,71.9,Halifax
