year,level_norm,city
1984,0.0,Ishigaki
1985,24.3,Ishigaki
1986,33.2,Ishigaki
1987,19.4,Ishigaki
1988,87.8,Ishigaki
1989,50.8,Ishigaki
1990,15.6,Ishigaki
1991,84.3,Ishigaki
1992,41.7,Ishigaki
1993,10.7,Ishigaki
1994,47.7,Ishigaki
1995,61.7,Ishigaki
1996,96.0,Ishigaki
1997,107.3,Ishigaki
1998,74.4,Ishigaki
1999,96.9,Ishigaki
2000,54.9,Ishigaki
2001,109.2,Ishigaki
2002,59.4,Ishigaki
2003,107.9,Ishigaki
2004,111.4,Ishigaki
2005,75.3,Ishigaki
2006,115.5,Ishigaki
2007,94.6,Ishigaki
2008,159.1,Ishigaki
2009,110.4,Ishigaki
2010,79.2,Ishigaki
2011,122.1,Ishigaki
2012,134.2,Ishigaki
2013,29.0,Ishigaki
2014,56.3,Ishigaki
