year,level_norm,city
1984,0.0,Kaohsiung
1985,-9.4,Kaohsiung
1986,-7.8,Kaohsiung
1987,-26.1,Kaohsiung
1988,-12.8,Kaohsiung
1989,-11.1,Kaohsiung
1990,2.4,Kaohsiung
1991,-21.2,Kaohsiung
1992,-67.0,Kaohsiung
1993,-54.9,Kaohsiung
1994,-23.7,Kaohsiung
1995,-51.0,Kaohsiung
1996,-60.7,Kaohsiung
1997,-10.2,Kaohsiung
1998,-114.8,Kaohsiung
1999,-26.9,Kaohsiung
2000,-49.8,Kaohsiung
2001,1.3,Kaohsiung
2002,-88.4,Kaohsiung
2003,-36.0,Kaohsiung
2004,-58.0,Kaohsiung
2005,-22.9,Kaohsiung
2006,-26.5,Kaohsiung
2007,-57.9,Kaohsiung
2008,-11.0,Kaohsiung
2009,-9.0,Kaohsiung
2010,-24.1,Kaohsiung
2011,-33.6,Kaohsiung
2012,21.0,Kaohsiung
2013,-43.0,Kaohsiung
2014,-14.0,Kaohsiung
