year,level_norm,city
1984,0.0,Ketchikan
1985,-122.6,Ketchikan
1986,-42.8,Ketchikan
1987,-1.6,Ketchikan
1988,-37.5,Ketchikan
1989,-103.9,Ketchikan
1990,-69.8,Ketchikan
1991,-53.4,Ketchikan
1992,11.3,Ketchikan
1993,-57.2,Ketchikan
1994,-42.4,Ketchikan
1995,-69.8,Ketchikan
1996,-77.2,Ketchikan
1997,-2.4,Ketchikan
1998,-45.1,Ketchikan
1999,-58.3,Ketchikan
2000,-88.3,Ketchikan
2001,-69.6,Ketchikan
2002,-102.7,Ketchikan
2003,-38.7,Ketchikan
2004,-70.6,Ketchikan
2005,-26.3,Ketchikan
2006,-58.0,Ketchikan
2007,-29.7,Ketchikan
2008,-70.4,Ketchikan
2009,-95.9,Ketchikan
2010,-35.3,Ketchikan
2011,-68.4,Ketchikan
2012,-48.4,Ketchikan
2013,-150.2,Ketchikan
2014,-97.6,Ketchikan
